id_ctzc;ecld_chefe_fmla;prfr_eqpt_csmr_menos_ee;dslg_tv_qund_n_esta_usdo;evita_eqpt_sb;porta_jnla_fcdo_usar_arcd;dslg_arcd_qund_fora_abte;evita_longo_banho_ce;usa_ce_posc_verao_ecnz_ee;evita_gldr_abta;n_guad_almt_qent_e_dstd_gldr;rglr_tmtt_gldr_cfrm_etac;n_seca_roupa_gldr;mntm_brch_gldr_bom_estd;usar_mdl_smnt_qund_cpcd_maxm;acml_roupa_pssr;dslg_fp_qund_encr_svco;usar_tmpr_idca_tcdo_fp;prfr_lmpd_led_frct;evita_ligar_lmpd_drte_dia;dslg_lmpd_abte_dcpd;elmn_pblm_itlc_eltc;rcbe_info_ecnz_ee;gtra_rcbr_info_ecnz_ee
6957;Fundamental completo/Médio incompleto;Normalmente;Sempre;Normalmente;;;;;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Sempre;Normalmente;Sempre;Sempre;Sim;
6958;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Sempre;Sim;
6959;Superior completo;Sempre;Sempre;Sempre;N/A;N/A;;;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Normalmente;Sempre;Normalmente;Sempre;Não;Sim
6960;Fundamental I completo / Fundamental II incompleto;Normalmente;N/A;Sempre;;;;;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Sempre;Sempre;Normalmente;Sempre;Sempre;Normalmente;Sempre;Sempre;Sim;
6961;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Não;Sim
6962;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
6963;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
6964;Superior completo;Sempre;Sempre;Normalmente;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Normalmente;Raramente;Normalmente;Sempre;Sempre;Sempre;Sempre;Sim;
6965;Fundamental completo/Médio incompleto;Sempre;Sempre;Normalmente;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
6966;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Normalmente;Sim;
6967;Médio completo/Superior incompleto;Sempre;Raramente;Normalmente;;;;;Raramente;Raramente;Normalmente;Sempre;Raramente;Sempre;Normalmente;Normalmente;Sempre;Raramente;Normalmente;Raramente;Nunca;Não;Não sabe/não responde
6968;Fundamental I completo / Fundamental II incompleto;Normalmente;Sempre;Sempre;;;Normalmente;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Normalmente;Normalmente;Sempre;Sempre;Normalmente;Sempre;Sempre;Não;Sim
6969;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
6970;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Raramente;Sempre;Normalmente;Sempre;Sempre;Sempre;Sim;
6971;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;Normalmente;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Sempre;Sim;
6972;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;;;;;Sempre;Normalmente;Sempre;Normalmente;Normalmente;N/A;Normalmente;Raramente;Normalmente;Normalmente;Sempre;Sempre;Sempre;Não;Sim
6973;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;;;Normalmente;Normalmente;Normalmente;Raramente;Raramente;Raramente;N/A;N/A;N/A;Normalmente;Normalmente;Sempre;Sempre;Não;Não
6974;Fundamental completo/Médio incompleto;Sempre;Normalmente;Normalmente;;;;;Sempre;Normalmente;Raramente;Raramente;Sempre;Sempre;N/A;N/A;N/A;Normalmente;Raramente;Sempre;Sempre;Sim;
6975;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;N/A;N/A;N/A;Normalmente;Normalmente;Normalmente;Sempre;Sim;
6976;Fundamental completo/Médio incompleto;Normalmente;Raramente;Sempre;;;;;Normalmente;Normalmente;Sempre;Normalmente;Normalmente;N/A;N/A;N/A;N/A;Sempre;Normalmente;Normalmente;Normalmente;Sim;
6977;Médio completo/Superior incompleto;Sempre;Normalmente;Normalmente;;;;;Normalmente;Raramente;Raramente;Sempre;Sempre;N/A;N/A;N/A;N/A;Normalmente;Normalmente;Normalmente;Sempre;Sim;
6978;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;;;;;Sempre;Normalmente;Nunca;Nunca;Nunca;Nunca;Sempre;Raramente;Normalmente;Normalmente;Sempre;Sempre;Normalmente;Não;Não
6979;Superior completo;Sempre;Normalmente;Sempre;Normalmente;Sempre;;;Normalmente;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;Normalmente;Raramente;Normalmente;Normalmente;Normalmente;Sempre;Sim;
6980;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;;;Normalmente;Sempre;Sempre;Nunca;Nunca;Normalmente;Normalmente;Raramente;Sempre;Sempre;Sempre;Raramente;Normalmente;Sim;
6981;Médio completo/Superior incompleto;Raramente;Normalmente;Normalmente;Raramente;Raramente;;;Nunca;Nunca;Raramente;Nunca;Raramente;N/A;Sempre;Normalmente;Sempre;Raramente;Raramente;Normalmente;Sempre;Não;Sim
6982;Fundamental completo/Médio incompleto;Sempre;Normalmente;Normalmente;;;;;Nunca;Nunca;Nunca;Nunca;Nunca;N/A;N/A;N/A;N/A;Raramente;Raramente;Raramente;Nunca;Sim;
6983;Fundamental completo/Médio incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Nunca;Raramente;Sempre;Normalmente;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
6984;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Nunca;Sempre;Sempre;Normalmente;N/A;N/A;N/A;Normalmente;Sempre;Sempre;Sempre;Sim;
6985;Analfabeto / Fundamental I incompleto;Normalmente;Sempre;Sempre;;;;;Sempre;Nunca;Nunca;Nunca;Sempre;N/A;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
6986;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Nunca;Nunca;Nunca;N/A;Raramente;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Não;Sim
6987;Médio completo/Superior incompleto;Normalmente;Normalmente;Sempre;;;Normalmente;Sempre;Sempre;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Raramente;Raramente;Sempre;Sempre;Normalmente;Sempre;Sempre;Sim;
6988;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Nunca;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
6989;Médio completo/Superior incompleto;Sempre;Sempre;Nunca;;;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
6990;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;Sempre;Sempre;;;Sempre;Sempre;Normalmente;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Sempre;Normalmente;Sempre;Normalmente;Não;Sim
7091;Superior completo;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Nunca;Normalmente;Sempre;Normalmente;Raramente;Normalmente;N/A;Sempre;Sempre;Sempre;Sim;
6991;Superior completo;Normalmente;Normalmente;Normalmente;;;;;Normalmente;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Sempre;Normalmente;Sempre;Normalmente;Normalmente;Normalmente;Normalmente;Sim;
6992;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Normalmente;N/A;Normalmente;Normalmente;Sempre;Normalmente;Sempre;Sempre;Sempre;Sim;
6993;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;;;Normalmente;Sempre;Sempre;Sempre;Sempre;N/A;Sempre;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Sempre;Sim;
6994;Médio completo/Superior incompleto;Normalmente;Normalmente;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;N/A;N/A;N/A;Normalmente;Sempre;Normalmente;Sempre;Não;Sim
6995;Médio completo/Superior incompleto;Normalmente;Normalmente;Sempre;;;;;Normalmente;Normalmente;Normalmente;Sempre;Normalmente;N/A;Normalmente;Normalmente;Sempre;Normalmente;Sempre;Normalmente;Sempre;Não;Sim
6996;Superior completo;Sempre;Normalmente;Normalmente;;;;;Sempre;Sempre;Sempre;Sempre;Normalmente;Normalmente;Sempre;Normalmente;Sempre;Normalmente;Normalmente;Normalmente;Sempre;Não;Sim
6997;Médio completo/Superior incompleto;Normalmente;N/A;Normalmente;;;;;Normalmente;Normalmente;Normalmente;Normalmente;Raramente;N/A;N/A;N/A;Sempre;Normalmente;Sempre;Sempre;Sempre;Sim;
6998;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;;;;;Normalmente;Sempre;Sempre;Sempre;Normalmente;N/A;N/A;N/A;N/A;Normalmente;Sempre;Sempre;Sempre;Não;Sim
6999;Fundamental completo/Médio incompleto;Normalmente;Normalmente;Normalmente;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;Sempre;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Sempre;Sim;
7000;Superior completo;Sempre;Raramente;Normalmente;;;;;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Sempre;Sempre;Raramente;Sempre;Normalmente;Normalmente;Normalmente;Sempre;Não;Sim
8001;Médio completo/Superior incompleto;Normalmente;Sempre;Normalmente;;;;;Normalmente;Nunca;Normalmente;Nunca;Sempre;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sim;
8002;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Normalmente;Nunca;Sempre;Normalmente;N/A;N/A;N/A;Raramente;Normalmente;Sempre;Sempre;Sim;
8003;Superior completo;Normalmente;Sempre;Sempre;;;;;N/A;Sempre;Normalmente;Nunca;Nunca;Sempre;Normalmente;N/A;Nunca;Normalmente;Normalmente;Nunca;Normalmente;Não;Sim
8004;Superior completo;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Normalmente;Nunca;Normalmente;Sempre;Raramente;Normalmente;Normalmente;Raramente;Normalmente;Normalmente;Normalmente;Sim;
8005;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;;;;;Nunca;Nunca;Raramente;Nunca;Normalmente;Normalmente;Sempre;N/A;N/A;Raramente;Normalmente;Sempre;Sempre;Sim;
8006;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Normalmente;Nunca;Normalmente;Sempre;Raramente;Raramente;Sempre;Normalmente;Sempre;Normalmente;Sempre;Não;Sim
8007;Analfabeto / Fundamental I incompleto;Sempre;Raramente;N/A;;;;;Normalmente;Normalmente;Raramente;Nunca;Normalmente;Raramente;Raramente;Raramente;Raramente;Nunca;Normalmente;Normalmente;Sempre;Não sabe/não responde;Sim
8008;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Sempre;N/A;Normalmente;Sempre;Normalmente;N/A;N/A;N/A;Normalmente;Normalmente;Sempre;Sim;
8009;Fundamental completo/Médio incompleto;Sempre;Sempre;Normalmente;;;;;Nunca;Nunca;Raramente;Nunca;Normalmente;Normalmente;Sempre;Normalmente;Sempre;Normalmente;Normalmente;Sempre;Normalmente;Sim;
8010;Superior completo;Sempre;Normalmente;Sempre;Normalmente;Sempre;;;Raramente;Normalmente;Nunca;Normalmente;Raramente;Raramente;Normalmente;Raramente;Nunca;N/A;Raramente;Raramente;Sempre;Não;Sim
8011;Fundamental completo/Médio incompleto;Raramente;Raramente;Raramente;;;;;Nunca;Nunca;Nunca;Nunca;Raramente;Normalmente;Raramente;Normalmente;Nunca;Raramente;Raramente;Normalmente;Sempre;Não;Sim
