id_ctzc;ecld_chefe_fmla;prfr_eqpt_csmr_menos_ee;dslg_tv_qund_n_esta_usdo;evita_eqpt_sb;porta_jnla_fcdo_usar_arcd;dslg_arcd_qund_fora_abte;evita_longo_banho_ce;usa_ce_posc_verao_ecnz_ee;evita_gldr_abta;n_guad_almt_qent_e_dstd_gldr;rglr_tmtt_gldr_cfrm_etac;n_seca_roupa_gldr;mntm_brch_gldr_bom_estd;usar_mdl_smnt_qund_cpcd_maxm;acml_roupa_pssr;dslg_fp_qund_encr_svco;usar_tmpr_idca_tcdo_fp;prfr_lmpd_led_frct;evita_ligar_lmpd_drte_dia;dslg_lmpd_abte_dcpd;elmn_pblm_itlc_eltc;rcbe_info_ecnz_ee;gtra_rcbr_info_ecnz_ee
1;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Raramente;Raramente;Sempre;Sempre;Sim;
2;Médio completo/Superior incompleto;Sempre;Sempre;Nunca;Sempre;Normalmente;;;Nunca;Nunca;Nunca;Nunca;Nunca;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Não
3;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Nunca;Nunca;Nunca;Nunca;Raramente;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
4;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sim;
5;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
6;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Sim
7;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Normalmente;Raramente;Nunca;Raramente;Normalmente;Sempre;Sempre;Nunca;Sempre;Normalmente;Normalmente;Sempre;Não;Sim
8;Médio completo/Superior incompleto;Sempre;Sempre;Raramente;Raramente;Raramente;;;Raramente;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
9;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
10;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Não;Sim
11;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
12;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Nunca;Nunca;Nunca;Nunca;Raramente;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Não;Sim
13;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Nunca;Raramente;Raramente;Nunca;Sempre;Sempre;Sim;
14;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Raramente;Sempre;Sempre;Nunca;Nunca;Nunca;Sempre;Normalmente;Sempre;Sempre;Não;Sim
15;Analfabeto / Fundamental I incompleto;Sempre;Normalmente;Raramente;;;;;Normalmente;Raramente;Nunca;Nunca;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Sim
16;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Raramente;;;;;Sempre;Raramente;Raramente;Raramente;Nunca;Raramente;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Sim
17;Médio completo/Superior incompleto;Sempre;Normalmente;Normalmente;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Raramente;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
18;Analfabeto / Fundamental I incompleto;Sempre;Normalmente;Normalmente;Normalmente;Normalmente;;;Normalmente;Sempre;Nunca;Sempre;Raramente;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sim;
19;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Normalmente;Sempre;Normalmente;Nunca;Normalmente;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
20;Médio completo/Superior incompleto;Nunca;Sempre;Raramente;Sempre;Sempre;;;Sempre;Normalmente;Nunca;Sempre;Sempre;Sempre;Nunca;Nunca;Nunca;Sempre;Sempre;Normalmente;Normalmente;Sim;
21;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
22;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
23;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Normalmente;Sim;
24;Fundamental I completo / Fundamental II incompleto;Raramente;Sempre;Normalmente;;;;;Sempre;Sempre;Sempre;Raramente;Raramente;Normalmente;Nunca;Nunca;Nunca;Normalmente;Sempre;Raramente;Normalmente;Sim;
25;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;Nunca;Nunca;Nunca;Nunca;Normalmente;Sempre;Sempre;Normalmente;Sim;
26;Médio completo/Superior incompleto;Sempre;Sempre;Nunca;Sempre;Sempre;;;Sempre;Sempre;Normalmente;Sempre;Sempre;Raramente;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Raramente;Não;Sim
27;Fundamental completo/Médio incompleto;Nunca;Sempre;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Nunca;Nunca;Sempre;Normalmente;Sempre;Sempre;Sim;
28;Fundamental I completo / Fundamental II incompleto;Raramente;Sempre;Raramente;Sempre;Sempre;;;Normalmente;Nunca;Nunca;Nunca;Nunca;Nunca;Raramente;Nunca;Nunca;Raramente;Sempre;Sempre;Raramente;Sim;
29;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Raramente;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Sim
30;Fundamental completo/Médio incompleto;Sempre;Sempre;Raramente;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sim;
31;Fundamental completo/Médio incompleto;Sempre;Sempre;Raramente;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;Nunca;Nunca;Sempre;Nunca;Sempre;Sempre;Sempre;Raramente;Sim;
32;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Não;Sim
33;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;Nunca;Nunca;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Sim;
34;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Nunca;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Não;Sim
35;Superior completo;Normalmente;Sempre;Normalmente;Sempre;Sempre;;;Sempre;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
36;Superior completo;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sim;
37;Superior completo;Sempre;Sempre;Raramente;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sim;
38;Médio completo/Superior incompleto;Sempre;Sempre;Raramente;Sempre;Raramente;;;Sempre;Sempre;Sempre;Nunca;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
39;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
40;Superior completo;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Sempre;Normalmente;Nunca;Nunca;Nunca;Nunca;Normalmente;Normalmente;Sempre;Raramente;Não;Sim
41;Analfabeto / Fundamental I incompleto;Sempre;Normalmente;Sempre;;;;;Nunca;Raramente;Sempre;Raramente;Sempre;Sempre;Sempre;Nunca;Nunca;Sempre;Normalmente;Sempre;Normalmente;Não;Sim
42;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sim;
43;Superior completo;Sempre;Nunca;Nunca;Sempre;Sempre;;;Sempre;Sempre;Nunca;Nunca;Sempre;Raramente;Raramente;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sim;
44;Médio completo/Superior incompleto;Sempre;Nunca;Nunca;;;;;Sempre;Sempre;Sempre;Nunca;Sempre;Normalmente;Raramente;Sempre;Normalmente;Normalmente;Sempre;Sempre;Sempre;Não;Sim
45;Médio completo/Superior incompleto;Sempre;Normalmente;Nunca;Raramente;Raramente;;;Raramente;Raramente;Raramente;Raramente;Normalmente;Normalmente;Normalmente;Sempre;Normalmente;Sempre;Sempre;Sempre;Normalmente;Não;Sim
46;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Raramente;Raramente;Normalmente;Nunca;Normalmente;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Raramente;Sim;
47;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sim;
48;Médio completo/Superior incompleto;Sempre;Raramente;Normalmente;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Não;Sim
49;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Raramente;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
50;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Normalmente;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
51;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;Nunca;Raramente;;;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
52;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
53;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sim;
54;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;Não;Sim
55;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Não;Sim
56;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
57;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
58;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
59;Médio completo/Superior incompleto;Raramente;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Raramente;Sempre;Raramente;Sempre;Sempre;Sempre;Raramente;Não;Sim
60;Médio completo/Superior incompleto;Normalmente;Sempre;Raramente;;;;;Raramente;Nunca;Sempre;Nunca;Raramente;Nunca;Nunca;Nunca;Nunca;Raramente;Sempre;Sempre;Nunca;Sim;
61;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sim;
62;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Nunca;Nunca;Nunca;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
63;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Nunca;Nunca;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
64;Analfabeto / Fundamental I incompleto;Normalmente;Sempre;Sempre;;;;;Sempre;Sempre;Nunca;Nunca;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sim;
65;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
66;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Nunca;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Não;Sim
67;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
68;Fundamental I completo / Fundamental II incompleto;Sempre;Nunca;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Sempre;Nunca;Nunca;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sim;
69;Médio completo/Superior incompleto;Nunca;Sempre;Raramente;;;;;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Normalmente;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Sim
70;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Sim
71;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Nunca;;;;;Sempre;Raramente;Raramente;Nunca;Sempre;Nunca;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
72;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Nunca;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sim;
73;Fundamental completo/Médio incompleto;Raramente;Raramente;Sempre;;;;;Normalmente;Sempre;Raramente;Raramente;Sempre;Nunca;Nunca;Sempre;Raramente;Raramente;Normalmente;Raramente;Sempre;Sim;
74;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sim;
75;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
152;Fundamental completo/Médio incompleto;N/A;Sempre;Sempre;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
76;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Nunca;Nunca;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Não sabe/não responde
77;Superior completo;Sempre;Raramente;Raramente;Sempre;Sempre;;;Sempre;Sempre;Raramente;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Raramente;Não;Sim
78;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
79;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Sempre;Normalmente;Nunca;Sempre;Raramente;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Não;Sim
80;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Nunca;Normalmente;Nunca;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Não;Sim
81;Analfabeto / Fundamental I incompleto;Normalmente;Normalmente;Nunca;;;;;Normalmente;Sempre;Normalmente;Sempre;Nunca;Nunca;Nunca;Nunca;Normalmente;Sempre;Sempre;Normalmente;Raramente;Não;Sim
82;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Raramente;Sempre;Sempre;Sempre;Sim;
83;Superior completo;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Nunca;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sim;
84;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
85;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Normalmente;Raramente;Raramente;Normalmente;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Não;Sim
86;Médio completo/Superior incompleto;Sempre;Raramente;Raramente;;;;;Sempre;Raramente;Normalmente;Nunca;Normalmente;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Normalmente;Não;Sim
87;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Normalmente;Sempre;Nunca;Sempre;Normalmente;Sempre;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Sempre;Sim;
88;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Sempre;Não;Sim
89;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Normalmente;Normalmente;Raramente;Sempre;Normalmente;Sempre;Sempre;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Não;Sim
90;Analfabeto / Fundamental I incompleto;Sempre;Normalmente;Sempre;;;;;Normalmente;Normalmente;Sempre;Nunca;Normalmente;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sim;
91;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;Normalmente;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
92;Fundamental I completo / Fundamental II incompleto;Sempre;Normalmente;Normalmente;Sempre;Sempre;;;Sempre;Normalmente;Raramente;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Normalmente;Sempre;Normalmente;Sim;
93;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Normalmente;Sim;
94;Fundamental I completo / Fundamental II incompleto;Raramente;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Nunca;Sempre;Sempre;Raramente;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Não;Sim
95;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Nunca;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Não
96;Médio completo/Superior incompleto;Sempre;Sempre;Nunca;;;;;Sempre;Sempre;Sempre;Normalmente;Normalmente;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Sim
97;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;Raramente;Sempre;;;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
98;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Não;Sim
99;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Raramente;Sempre;Sempre;;;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Normalmente;Não;Sim
100;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;Raramente;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
101;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Nunca;Sempre;Sempre;Raramente;Raramente;Sempre;Normalmente;Sempre;Sempre;Sempre;Raramente;Não;Sim
102;Analfabeto / Fundamental I incompleto;Sempre;Normalmente;Sempre;Sempre;Sempre;;;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
103;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Normalmente;Sempre;Sempre;;;Sempre;Sempre;Raramente;Raramente;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Não;Sim
104;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Raramente;;;Normalmente;Normalmente;Nunca;Raramente;Sempre;Normalmente;Nunca;Sempre;Sempre;Sempre;Sempre;Raramente;Nunca;Sim;
105;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
106;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sim;
107;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Normalmente;Nunca;Sempre;Nunca;Nunca;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
108;Analfabeto / Fundamental I incompleto;Sempre;Nunca;Sempre;;;;;Sempre;Nunca;Nunca;Nunca;Nunca;Normalmente;Raramente;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Não;Sim
109;Superior completo;Sempre;Sempre;Raramente;;;;;Sempre;Normalmente;Raramente;Raramente;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
110;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Raramente;;;;;Normalmente;Sempre;Raramente;Nunca;Normalmente;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
111;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;N/A;N/A;N/A;N/A;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
112;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Normalmente;Nunca;Nunca;Sempre;Normalmente;Sempre;Normalmente;Sempre;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
113;Médio completo/Superior incompleto;Raramente;Raramente;Raramente;;;;;Raramente;Sempre;Raramente;Sempre;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sim;
114;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
115;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Nunca;Raramente;Raramente;Nunca;Raramente;Sempre;Sempre;Sempre;Não;Não
116;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Nunca;Sempre;Nunca;Nunca;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Sim;
117;Fundamental I completo / Fundamental II incompleto;Sempre;Nunca;Nunca;Sempre;Sempre;;;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
118;Fundamental completo/Médio incompleto;Sempre;Normalmente;Normalmente;;;;;Sempre;Sempre;Raramente;Sempre;Normalmente;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Nunca;Não;Sim
119;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Nunca;Sempre;Sempre;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Sim
120;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Nunca;Nunca;Sempre;Sempre;Nunca;Nunca;Nunca;Raramente;Sempre;Sempre;Sempre;Sim;
